userId,movieId,rating,timestamp,title,genres
1,1193,5.0,978300760,One Flew Over the Cuckoo's Nest (1975),Drama
1,2355,5.0,978824291,"Bug's Life, A (1998)",Animation|Children's|Comedy
1,1287,5.0,978302039,Ben-Hur (1959),Action|Adventure|Drama
1,2804,5.0,978300719,"Christmas Story, A (1983)",Comedy|Drama
1,595,5.0,978824268,Beauty and the Beast (1991),Animation|Children's|Musical
1,1035,5.0,978301753,"Sound of Music, The (1965)",Musical
1,150,5.0,978301777,Apollo 13 (1995),Drama
1,1,5.0,978824268,Toy Story (1995),Animation|Children's|Comedy
1,1836,5.0,978300172,"Last Days of Disco, The (1998)",Drama
1,527,5.0,978824195,Schindler's List (1993),Drama|War
1,48,5.0,978824351,Pocahontas (1995),Animation|Children's|Musical|Romance
1,1270,5.0,978300055,Back to the Future (1985),Comedy|Sci-Fi
1,3105,5.0,978301713,Awakenings (1990),Drama
1,1961,5.0,978301590,Rain Man (1988),Drama
1,1028,5.0,978301777,Mary Poppins (1964),Children's|Comedy|Musical
1,2028,5.0,978301619,Saving Private Ryan (1998),Action|Drama|War
1,1029,5.0,978302205,Dumbo (1941),Animation|Children's|Musical
1,1022,5.0,978300055,Cinderella (1950),Animation|Children's|Musical
1,594,4.0,978302268,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
1,3408,4.0,978300275,Erin Brockovich (2000),Drama
1,919,4.0,978301368,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
1,2791,4.0,978302188,Airplane! (1980),Comedy
1,2918,4.0,978302124,Ferris Bueller's Day Off (1986),Comedy
1,2398,4.0,978302281,Miracle on 34th Street (1947),Drama
1,938,4.0,978301752,Gigi (1958),Musical
1,1721,4.0,978300055,Titanic (1997),Drama|Romance
1,2797,4.0,978302039,Big (1988),Comedy|Fantasy
1,1097,4.0,978301953,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
1,2018,4.0,978301777,Bambi (1942),Animation|Children's
1,783,4.0,978824291,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical
1,1907,4.0,978824330,Mulan (1998),Animation|Children's
1,588,4.0,978824268,Aladdin (1992),Animation|Children's|Comedy|Musical
1,1566,4.0,978824330,Hercules (1997),Adventure|Animation|Children's|Comedy|Musical
1,2294,4.0,978824291,Antz (1998),Animation|Children's
1,3186,4.0,978300019,"Girl, Interrupted (1999)",Drama
1,1545,4.0,978824139,Ponette (1996),Drama
1,2762,4.0,978302091,"Sixth Sense, The (1999)",Thriller
1,260,4.0,978300760,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
1,2692,4.0,978301570,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
1,1962,4.0,978301753,Driving Miss Daisy (1989),Drama
1,1207,4.0,978300719,To Kill a Mockingbird (1962),Drama
1,531,4.0,978302149,"Secret Garden, The (1993)",Children's|Drama
1,3114,4.0,978302174,Toy Story 2 (1999),Animation|Children's|Comedy
1,608,4.0,978301398,Fargo (1996),Crime|Drama|Thriller
1,1246,4.0,978302091,Dead Poets Society (1989),Drama
